generator_key,model,question_id,question,domain,benchmark_group,stress_class,knowledge_scope,answer_policy,selected_mode,retrieval_rounds,rag_calls,mcp_calls,backend_calls,retrieval_stop_reason,final_sufficient,final_evidence_count,final_context_chars,answer_generation_s,end_to_end_s,prompt_tokens,completion_tokens,total_tokens,answer_validation_pass,finish_reason_validation_pass,answer_nonempty,has_evidence_citation,citation_range_ok,model_id,revision,question_number,benchmark_domain,benchmark_group_frozen,stress_class_frozen,knowledge_scope_frozen,expected_route_frozen,expected_mcp_route,answer_policy_frozen,technical_correctness,requirement_coverage,evidence_grounding,evidence_answer_consistency,technical_synthesis,unsupported_claims_control,overall_score,quality_percentage,major_error,unsupported_claims_detected,negative_control_abstention,judge_finish_reason,judge_latency_s,judge_completion_tokens
qwen35_9b,Qwen3.5 9B,Q4,"Explain how 5QI and QoS flows are handled in a 5G network, including the roles of the SMF and UPF.",QoS,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,True,5,11724,30.962524870003108,45.54292121600156,3502,1024,4526,False,False,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,4,QoS,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,3.0,4.0,2.0,4.0,3.0,2.0,3.1,77.5,False,True,,stop,528.9372588100014,7317.0
qwen38_27b,Qwen3.8 27B,Q4,"Explain how 5QI and QoS flows are handled in a 5G network, including the roles of the SMF and UPF.",QoS,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,12476,86.38376135599901,145.8035061269984,3690,1024,4714,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,4,QoS,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,4.0,3.0,3.0,4.0,4.0,4.0,3.55,88.75,False,True,,stop,642.0811579839938,8814.0
gemma4_12b,Gemma 4 12B,Q5,"Explain the 5G authentication procedure and the roles of the AMF, AUSF and UDM.",Security,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,False,5,11684,27.72232798999903,61.885898185999395,3892,706,4598,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,5,Security,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,590.3708349519948,8135.0
qwen35_9b,Qwen3.5 9B,Q5,"Explain the 5G authentication procedure and the roles of the AMF, AUSF and UDM.",Security,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,2,4060,29.86269729799824,42.00927920899994,1342,1024,2366,False,False,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,5,Security,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,2.0,3.0,2.0,2.0,2.0,1.0,2.2,55.0,True,True,,stop,348.1181339709947,4960.0
qwen38_27b,Qwen3.8 27B,Q5,"Explain the 5G authentication procedure and the roles of the AMF, AUSF and UDM.",Security,CONTINUITY,CONTINUITY,3GPP,ANSWER_FROM_EVIDENCE,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,12325,86.21946470599869,137.0558596230003,3719,1024,4743,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,5,Security,CONTINUITY,CONTINUITY,3GPP,3gpp,3gpp,ANSWER_FROM_EVIDENCE,4.0,3.0,4.0,4.0,4.0,4.0,3.75,93.75,False,False,,stop,566.9293399660019,7803.0
gemma4_12b,Gemma 4 12B,Q6,"Explain the key mechanisms of QUIC as defined by the IETF, including connection establishment, stream multiplexing and connection migration.",Internet Transport,CONTINUITY,CONTINUITY,TCC,ANSWER_FROM_EVIDENCE,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,12108,24.590751705000002,50.05165825900258,2866,638,3504,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,6,Internet Transport,CONTINUITY,CONTINUITY,TCC,tcc,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,3.0,4.0,4.0,3.0,3.75,93.75,False,True,,stop,634.3536467890008,8795.0
qwen35_9b,Qwen3.5 9B,Q6,"Explain the key mechanisms of QUIC as defined by the IETF, including connection establishment, stream multiplexing and connection migration.",Internet Transport,CONTINUITY,CONTINUITY,TCC,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,11836,28.538223332005145,40.79997752200143,2774,952,3726,True,True,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,6,Internet Transport,CONTINUITY,CONTINUITY,TCC,tcc,tcc,ANSWER_FROM_EVIDENCE,3.0,4.0,3.0,4.0,4.0,2.0,3.4,85.0,False,True,,stop,718.7176557560015,9895.0
qwen38_27b,Qwen3.8 27B,Q6,"Explain the key mechanisms of QUIC as defined by the IETF, including connection establishment, stream multiplexing and connection migration.",Internet Transport,CONTINUITY,CONTINUITY,TCC,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,11836,84.83224433200303,118.63814218999687,2774,1024,3798,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,6,Internet Transport,CONTINUITY,CONTINUITY,TCC,tcc,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,522.6343908569979,7271.0
gemma4_12b,Gemma 4 12B,Q7,"According to IEEE and research literature, what are the main benefits and technical challenges of using AI/ML-based traffic prediction for mobile network management?",Telecom AI Research,CONTINUITY,CONTINUITY,TCC,ANSWER_FROM_EVIDENCE,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,5,12497,23.058247320997907,56.55649738499778,3158,590,3748,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,7,Telecom AI Research,CONTINUITY,CONTINUITY,TCC,tcc,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,436.8871120739932,6115.0
qwen35_9b,Qwen3.5 9B,Q7,"According to IEEE and research literature, what are the main benefits and technical challenges of using AI/ML-based traffic prediction for mobile network management?",Telecom AI Research,CONTINUITY,CONTINUITY,TCC,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12480,30.223855614996864,45.64663969299727,3185,1005,4190,True,True,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,7,Telecom AI Research,CONTINUITY,CONTINUITY,TCC,tcc,tcc,ANSWER_FROM_EVIDENCE,3.0,4.0,3.0,4.0,4.0,3.0,3.45,86.25,False,True,,stop,509.80384379399766,7075.0
qwen38_27b,Qwen3.8 27B,Q7,"According to IEEE and research literature, what are the main benefits and technical challenges of using AI/ML-based traffic prediction for mobile network management?",Telecom AI Research,CONTINUITY,CONTINUITY,TCC,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12480,78.71720262500094,121.1068450720013,3185,934,4119,True,True,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,7,Telecom AI Research,CONTINUITY,CONTINUITY,TCC,tcc,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,326.5055354740034,4578.0
gemma4_12b,Gemma 4 12B,Q8,Explain how HTTP and TLS support communication in the 5G Service-Based Architecture. Distinguish the roles and requirements defined by 3GPP for network functions such as the AMF and SMF from the HTTP/TLS transport and security mechanisms defined by the IETF.,5G SBA + Internet Protocols,CONTINUITY,CONTINUITY,Hybrid,ANSWER_FROM_EVIDENCE,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,12003,28.502510041998903,65.6590518280027,3505,735,4240,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,8,5G SBA + Internet Protocols,CONTINUITY,CONTINUITY,Hybrid,hybrid,hybrid,ANSWER_FROM_EVIDENCE,3.0,3.0,2.0,3.0,3.0,2.0,2.75,68.75,False,True,,stop,345.82934053299687,4846.0
qwen35_9b,Qwen3.5 9B,Q8,Explain how HTTP and TLS support communication in the 5G Service-Based Architecture. Distinguish the roles and requirements defined by 3GPP for network functions such as the AMF and SMF from the HTTP/TLS transport and security mechanisms defined by the IETF.,5G SBA + Internet Protocols,CONTINUITY,CONTINUITY,Hybrid,ANSWER_FROM_EVIDENCE,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,True,5,12468,31.407932512003754,48.49398007400305,4279,1024,5303,False,False,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,8,5G SBA + Internet Protocols,CONTINUITY,CONTINUITY,Hybrid,hybrid,hybrid,ANSWER_FROM_EVIDENCE,2.0,2.0,2.0,1.0,2.0,1.0,1.85,46.25,True,True,,stop,288.4505922639946,4011.0
qwen38_27b,Qwen3.8 27B,Q8,Explain how HTTP and TLS support communication in the 5G Service-Based Architecture. Distinguish the roles and requirements defined by 3GPP for network functions such as the AMF and SMF from the HTTP/TLS transport and security mechanisms defined by the IETF.,5G SBA + Internet Protocols,CONTINUITY,CONTINUITY,Hybrid,ANSWER_FROM_EVIDENCE,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,5,12378,88.02721437900254,168.24439605500447,4941,1024,5965,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,8,5G SBA + Internet Protocols,CONTINUITY,CONTINUITY,Hybrid,hybrid,hybrid,ANSWER_FROM_EVIDENCE,3.0,3.0,2.0,3.0,3.0,2.0,2.75,68.75,False,True,,stop,407.0731899149978,5600.0
gemma4_12b,Gemma 4 12B,Q9,Explain the architectural difference between O-RAN rApps running with the non-RT RIC and xApps running with the near-RT RIC. Describe how A1 and E2 support policy guidance and near-real-time RAN control.,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,True,5,10910,27.90127991799818,46.61598117199901,3278,722,4000,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,9,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,808.7911483670032,11046.0
qwen35_9b,Qwen3.5 9B,Q9,Explain the architectural difference between O-RAN rApps running with the non-RT RIC and xApps running with the near-RT RIC. Describe how A1 and E2 support policy guidance and near-real-time RAN control.,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12495,30.769923314997868,48.72986538200348,3229,1024,4253,False,False,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,9,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,,tcc,ANSWER_FROM_EVIDENCE,3.0,4.0,3.0,3.0,3.0,3.0,3.25,81.25,False,True,,stop,564.3762962239998,7789.0
qwen38_27b,Qwen3.8 27B,Q9,Explain the architectural difference between O-RAN rApps running with the non-RT RIC and xApps running with the near-RT RIC. Describe how A1 and E2 support policy guidance and near-real-time RAN control.,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12494,85.21539094600303,124.31867620199773,3185,1024,4209,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,9,O-RAN Architecture,STRESS,RAG_FAVOURED,RAG,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,612.4228216280026,8435.0
gemma4_12b,Gemma 4 12B,Q10,"A cloud-native 5G Core running on Kubernetes experiences repeated AMF and SMF pod restarts while radio performance remains normal. Develop an evidence-driven investigation method using Kubernetes workload state, events, logs, health probes, resource pressure and platform networking before concluding that the 5G network functions themselves are faulty.",Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,5,10620,34.96927344999858,58.72916287800035,3345,917,4262,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,10,Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,,3gpp,ANSWER_FROM_EVIDENCE,3.0,3.0,3.0,4.0,3.0,3.0,3.1,77.5,False,True,,stop,528.9717565309984,7293.0
qwen35_9b,Qwen3.5 9B,Q10,"A cloud-native 5G Core running on Kubernetes experiences repeated AMF and SMF pod restarts while radio performance remains normal. Develop an evidence-driven investigation method using Kubernetes workload state, events, logs, health probes, resource pressure and platform networking before concluding that the 5G network functions themselves are faulty.",Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,12468,30.96255825800472,64.64871221999783,3543,1024,4567,False,False,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,10,Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,,3gpp,ANSWER_FROM_EVIDENCE,2.0,3.0,2.0,3.0,2.0,1.0,2.3,57.5,False,True,,stop,337.75370927300537,4701.0
qwen38_27b,Qwen3.8 27B,Q10,"A cloud-native 5G Core running on Kubernetes experiences repeated AMF and SMF pod restarts while radio performance remains normal. Develop an evidence-driven investigation method using Kubernetes workload state, events, logs, health probes, resource pressure and platform networking before concluding that the 5G network functions themselves are faulty.",Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,ANSWER_FROM_EVIDENCE,RAG_ONLY,3,3,0,3,MAX_RETRIEVAL_ROUNDS,False,5,12407,85.63037164699927,159.0736131070007,3462,1024,4486,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,10,Cloud-Native 5G Core,STRESS,RAG_FAVOURED,RAG,,3gpp,ANSWER_FROM_EVIDENCE,3.0,4.0,3.0,4.0,4.0,3.0,3.45,86.25,False,True,,stop,290.3972465420011,4041.0
gemma4_12b,Gemma 4 12B,Q11,"According to IETF specifications, explain the main phases of a TLS 1.3 handshake and the evidence exchanged to establish key material, authenticate the peer and confirm that the handshake has completed successfully.",IETF Security,STRESS,MCP_FAVOURED,MCP,ANSWER_FROM_EVIDENCE,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,11627,23.515052348997415,47.42408329099999,3258,601,3859,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,11,IETF Security,STRESS,MCP_FAVOURED,MCP,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,468.1445796090047,6531.0
qwen35_9b,Qwen3.5 9B,Q11,"According to IETF specifications, explain the main phases of a TLS 1.3 handshake and the evidence exchanged to establish key material, authenticate the peer and confirm that the handshake has completed successfully.",IETF Security,STRESS,MCP_FAVOURED,MCP,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12107,30.73174059899611,43.50040126899694,2949,1024,3973,False,False,True,True,True,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,11,IETF Security,STRESS,MCP_FAVOURED,MCP,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,3.0,4.0,3.0,3.0,3.65,91.25,False,True,,stop,441.0315626740048,6154.0
qwen38_27b,Qwen3.8 27B,Q11,"According to IETF specifications, explain the main phases of a TLS 1.3 handshake and the evidence exchanged to establish key material, authenticate the peer and confirm that the handshake has completed successfully.",IETF Security,STRESS,MCP_FAVOURED,MCP,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,11041,85.54114346700226,120.14726055099891,3273,1024,4297,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,11,IETF Security,STRESS,MCP_FAVOURED,MCP,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,3.0,4.0,4.0,2.0,3.7,92.5,False,True,,stop,474.9425544650003,6599.0
gemma4_12b,Gemma 4 12B,Q12,"According to IEEE and research literature, what technical considerations are important when deploying machine-learning based anomaly detection for telecom network operations? Discuss feature design, evaluation, false positives, concept drift and operational deployment.",Telecom AI Research,STRESS,MCP_FAVOURED,MCP,ANSWER_FROM_EVIDENCE,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,12479,25.8716240390022,63.04505725999843,3077,669,3746,True,True,True,True,True,google/gemma-4-12B-it-qat-w4a16-ct,1d2c2d7f2466070e69d6fb3fd5ce9a7d75f2f6ee,12,Telecom AI Research,STRESS,MCP_FAVOURED,MCP,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,433.94823271399946,6073.0
qwen35_9b,Qwen3.5 9B,Q12,"According to IEEE and research literature, what technical considerations are important when deploying machine-learning based anomaly detection for telecom network operations? Discuss feature design, evaluation, false positives, concept drift and operational deployment.",Telecom AI Research,STRESS,MCP_FAVOURED,MCP,ANSWER_FROM_EVIDENCE,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,12478,31.48811538099835,64.47628855900257,4111,1024,5135,False,False,True,True,False,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,12,Telecom AI Research,STRESS,MCP_FAVOURED,MCP,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,False,False,,stop,568.444355013009,7805.0
qwen38_27b,Qwen3.8 27B,Q12,"According to IEEE and research literature, what technical considerations are important when deploying machine-learning based anomaly detection for telecom network operations? Discuss feature design, evaluation, false positives, concept drift and operational deployment.",Telecom AI Research,STRESS,MCP_FAVOURED,MCP,ANSWER_FROM_EVIDENCE,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12466,85.1512248709987,126.06509682799515,2989,1024,4013,False,False,True,True,True,Qwen/Qwen3.8-27B,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,12,Telecom AI Research,STRESS,MCP_FAVOURED,MCP,,tcc,ANSWER_FROM_EVIDENCE,4.0,4.0,3.0,4.0,4.0,3.0,3.75,93.75,False,True,,stop,533.6724013249986,7410.0
