model,question_id,domain,benchmark_group_frozen,stress_class_frozen,selected_mode,retrieval_rounds,rag_calls,mcp_calls,backend_calls,retrieval_stop_reason,answer_validation_pass,completion_tokens,answer_generation_s,end_to_end_s,quality_percentage,major_error,unsupported_claims_detected,negative_control_abstention
Qwen3.8 27B,Q14,AI/ML + 5G QoS and Slicing,STRESS,HYBRID,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,False,1024,85.10927538599935,148.89509788100258,88.75,False,False,
Gemma 4 12B,Q15,Cross-Layer 5G Fault Isolation,STRESS,HYBRID,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,True,984,37.45768622999822,75.5149739619992,93.75,False,True,
Qwen3.5 9B,Q15,Cross-Layer 5G Fault Isolation,STRESS,HYBRID,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,1024,31.03303104999941,69.7784197439978,93.75,False,True,
Qwen3.8 27B,Q15,Cross-Layer 5G Fault Isolation,STRESS,HYBRID,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,1024,87.42365119400347,161.9979428200022,75.0,False,True,
Gemma 4 12B,Q16,Unsupported Proprietary Knowledge,STRESS,RETRIEVAL_TRAP,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,True,183,7.4185018469979696,28.618335562001448,,,,
Qwen3.5 9B,Q16,Unsupported Proprietary Knowledge,STRESS,RETRIEVAL_TRAP,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,True,448,14.27601231099834,39.6743284549957,100.0,False,False,True
Qwen3.8 27B,Q16,Unsupported Proprietary Knowledge,STRESS,RETRIEVAL_TRAP,RAG_ONLY,3,3,0,3,MAX_RETRIEVAL_ROUNDS,True,412,39.490275262003706,109.3220298640008,98.75,False,True,True
Gemma 4 12B,Q2,Mobility,CONTINUITY,CONTINUITY,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,True,659,25.71483971899943,63.84998146900034,100.0,False,False,
Qwen3.5 9B,Q2,Mobility,CONTINUITY,CONTINUITY,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,False,1024,31.041431473997363,47.022235807999095,56.25,False,True,
Qwen3.8 27B,Q2,Mobility,CONTINUITY,CONTINUITY,MCP_ONLY,3,0,3,3,SUFFICIENT_EVIDENCE,False,1024,85.34752975899755,157.59859255599804,55.0,True,True,
Gemma 4 12B,Q3,RAN,CONTINUITY,CONTINUITY,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,731,27.18058085099983,40.340993384998,100.0,False,False,
Qwen3.5 9B,Q3,RAN,CONTINUITY,CONTINUITY,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,770,22.356866216003255,32.394034005999856,65.0,False,True,
Qwen3.8 27B,Q3,RAN,CONTINUITY,CONTINUITY,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,False,1024,83.85622212700036,122.46371589299815,97.5,False,True,
Gemma 4 12B,Q4,QoS,CONTINUITY,CONTINUITY,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,774,29.85267409500011,56.26460458300062,100.0,False,False,
Qwen3.5 9B,Q4,QoS,CONTINUITY,CONTINUITY,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,False,1024,30.962524870003108,45.54292121600156,77.5,False,True,
Qwen3.8 27B,Q4,QoS,CONTINUITY,CONTINUITY,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,False,1024,86.38376135599901,145.8035061269984,88.75,False,True,
Gemma 4 12B,Q5,Security,CONTINUITY,CONTINUITY,MCP_ONLY,3,0,3,3,MAX_RETRIEVAL_ROUNDS,True,706,27.72232798999903,61.885898185999395,100.0,False,False,
Qwen3.5 9B,Q5,Security,CONTINUITY,CONTINUITY,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,False,1024,29.86269729799824,42.00927920899994,55.0,True,True,
Qwen3.8 27B,Q5,Security,CONTINUITY,CONTINUITY,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,False,1024,86.21946470599869,137.0558596230003,93.75,False,False,
Gemma 4 12B,Q6,Internet Transport,CONTINUITY,CONTINUITY,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,638,24.590751705000002,50.05165825900258,93.75,False,True,
Qwen3.5 9B,Q6,Internet Transport,CONTINUITY,CONTINUITY,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,952,28.538223332005145,40.79997752200143,85.0,False,True,
Qwen3.8 27B,Q6,Internet Transport,CONTINUITY,CONTINUITY,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,False,1024,84.83224433200303,118.63814218999687,100.0,False,False,
Gemma 4 12B,Q7,Telecom AI Research,CONTINUITY,CONTINUITY,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,590,23.058247320997907,56.55649738499778,100.0,False,False,
Qwen3.5 9B,Q7,Telecom AI Research,CONTINUITY,CONTINUITY,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,1005,30.223855614996864,45.64663969299727,86.25,False,True,
Qwen3.8 27B,Q7,Telecom AI Research,CONTINUITY,CONTINUITY,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,934,78.71720262500094,121.1068450720013,100.0,False,False,
Gemma 4 12B,Q8,5G SBA + Internet Protocols,CONTINUITY,CONTINUITY,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,True,735,28.502510041998903,65.6590518280027,68.75,False,True,
Qwen3.5 9B,Q8,5G SBA + Internet Protocols,CONTINUITY,CONTINUITY,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,False,1024,31.407932512003754,48.49398007400305,46.25,True,True,
Qwen3.8 27B,Q8,5G SBA + Internet Protocols,CONTINUITY,CONTINUITY,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,False,1024,88.02721437900254,168.24439605500447,68.75,False,True,
Gemma 4 12B,Q9,O-RAN Architecture,STRESS,RAG_FAVOURED,HYBRID,1,1,1,2,SUFFICIENT_EVIDENCE,True,722,27.90127991799818,46.61598117199901,100.0,False,False,
Qwen3.5 9B,Q9,O-RAN Architecture,STRESS,RAG_FAVOURED,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,False,1024,30.769923314997868,48.72986538200348,81.25,False,True,
Qwen3.8 27B,Q9,O-RAN Architecture,STRESS,RAG_FAVOURED,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,False,1024,85.21539094600303,124.31867620199773,100.0,False,False,
